scenario,pathway,model,target_contribution_margin_pct,care_delivery_cost_usd_per_patient_per_yr,sponsor_servicing_cost_usd_per_patient_per_yr,commercial_cost_usd_per_patient_per_yr,compliance_cost_usd_per_patient_per_yr,trust_churn_cost_usd_per_patient_per_yr,core_book_contagion_cost_usd_per_patient_per_yr,fully_loaded_cost_usd_per_patient_per_yr,required_arpu_usd_per_patient_per_yr,actual_arpu_usd_per_patient_per_yr,gap_usd_per_patient_per_yr,north_star_risk_adj_contribution_margin_usd_per_patient_per_yr,required_patients_at_5x_for_1B,required_sponsors_at_5x_for_1B,sponsor_concentration_pct_at_5x_for_1B,required_annual_grant_pool_at_5x_for_1B,required_grantors_at_5x_for_1B,grantor_concentration_pct_at_5x_for_1B,required_patients_at_10x_for_1B,required_sponsors_at_10x_for_1B,sponsor_concentration_pct_at_10x_for_1B,required_annual_grant_pool_at_10x_for_1B,required_grantors_at_10x_for_1B,grantor_concentration_pct_at_10x_for_1B,required_patients_at_15x_for_1B,required_sponsors_at_15x_for_1B,sponsor_concentration_pct_at_15x_for_1B,required_annual_grant_pool_at_15x_for_1B,required_grantors_at_15x_for_1B,grantor_concentration_pct_at_15x_for_1B,required_patients_at_20x_for_1B,required_sponsors_at_20x_for_1B,sponsor_concentration_pct_at_20x_for_1B,required_annual_grant_pool_at_20x_for_1B,required_grantors_at_20x_for_1B,grantor_concentration_pct_at_20x_for_1B
low,traditional,A_programmatic_ads,25.0,1122.0,24.0,24.0,36.0,0.02,50.62,1256.64,1675.52,0.07,-1675.45,-1256.57,2777777778.0,,,,,,1388888889.0,,,,,,925925926.0,,,,,,694444444.0,,,,,
low,traditional,B_fixed_fee_sponsorship_external_anchor,25.0,1122.0,24.0,24.0,36.0,1.25,50.62,1257.88,1677.17,5.0,-1672.17,-1252.88,40000000.0,800.0,0.125,,,,20000000.0,400.0,0.25,,,,13333333.0,266.7,0.375,,,,10000000.0,200.0,0.5,,,
low,traditional,C_performance_partnership,25.0,1122.0,24.0,24.0,36.0,0.12,50.62,1256.74,1675.66,0.48,-1675.18,-1256.26,416666667.0,,,,,,208333333.0,,,,,,138888889.0,,,,,,104166667.0,,,,,
low,traditional,D_employer_payer_underwriting,25.0,1122.0,24.0,24.0,36.0,2.7,50.62,1259.33,1679.1,10.8,-1668.3,-1248.53,18518519.0,,,,,,9259259.0,,,,,,6172840.0,,,,,,4629630.0,,,,,
low,traditional,E_foundation_underwriting,25.0,1122.0,24.0,24.0,36.0,5.0,50.62,1261.62,1682.17,20.0,-1662.17,-1241.62,10000000.0,,,200000000.0,266.7,0.375,5000000.0,,,100000000.0,133.3,0.75,3333333.0,,,66666667.0,88.9,1.125,2500000.0,,,50000000.0,66.7,1.5
low,ai_supported,A_programmatic_ads,25.0,1080.0,24.0,24.0,36.0,0.02,50.62,1214.64,1619.52,0.07,-1619.45,-1214.57,2777777778.0,,,,,,1388888889.0,,,,,,925925926.0,,,,,,694444444.0,,,,,
low,ai_supported,B_fixed_fee_sponsorship_external_anchor,25.0,1080.0,24.0,24.0,36.0,1.25,50.62,1215.88,1621.17,5.0,-1616.17,-1210.88,40000000.0,800.0,0.125,,,,20000000.0,400.0,0.25,,,,13333333.0,266.7,0.375,,,,10000000.0,200.0,0.5,,,
low,ai_supported,C_performance_partnership,25.0,1080.0,24.0,24.0,36.0,0.12,50.62,1214.74,1619.66,0.48,-1619.18,-1214.26,416666667.0,,,,,,208333333.0,,,,,,138888889.0,,,,,,104166667.0,,,,,
low,ai_supported,D_employer_payer_underwriting,25.0,1080.0,24.0,24.0,36.0,2.7,50.62,1217.33,1623.1,10.8,-1612.3,-1206.53,18518519.0,,,,,,9259259.0,,,,,,6172840.0,,,,,,4629630.0,,,,,
low,ai_supported,E_foundation_underwriting,25.0,1080.0,24.0,24.0,36.0,5.0,50.62,1219.62,1626.17,20.0,-1606.17,-1199.62,10000000.0,,,200000000.0,266.7,0.375,5000000.0,,,100000000.0,133.3,0.75,3333333.0,,,66666667.0,88.9,1.125,2500000.0,,,50000000.0,66.7,1.5
